reg_code;reg_name;com_arm_code;com_arm_name;com_arm_pop_mun;com_arm_pop_cap;com_arm_pop_tot;dep_code;arrdep_code;census_year;start_year;geo_year;epci_name;epci_code;dep_name
11;Île-de-France;75108;Paris 8e Arrondissement;35631;587;36218;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75105;Paris 5e Arrondissement;59108;839;59947;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75116;Paris 16e Arrondissement;165446;2260;167706;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75106;Paris 6e Arrondissement;39625;827;40452;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75119;Paris 19e Arrondissement;185654;1427;187081;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75103;Paris 3e Arrondissement;35049;701;35750;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75111;Paris 11e Arrondissement;147017;1322;148339;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75103;Paris 3e Arrondissement;34115;274;34389;75;001;2017;2020;2019;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75119;Paris 19e Arrondissement;185513;1017;186530;75;001;2018;2021;2020;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75118;Paris 18e Arrondissement;195233;898;196131;75;001;2017;2020;2019;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75120;Paris 20e Arrondissement;194994;924;195918;75;001;2019;2022;2021;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75102;Paris 2e Arrondissement;21595;140;21735;75;001;2019;2022;2021;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75114;Paris 14e Arrondissement;133967;959;134926;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75114;Paris 14e Arrondissement;136596;978;137574;75;001;2018;2021;2020;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75109;Paris 9e Arrondissement;60026;537;60563;75;001;2019;2022;2021;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75113;Paris 13e Arrondissement;177833;1180;179013;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75116;Paris 16e Arrondissement;165523;2254;167777;75;001;2019;2022;2021;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75115;Paris 15e Arrondissement;230981;1687;232668;75;001;2019;2022;2021;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75118;Paris 18e Arrondissement;197580;1240;198820;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75110;Paris 10e Arrondissement;91932;728;92660;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75120;Paris 20e Arrondissement;195556;1403;196959;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75119;Paris 19e Arrondissement;187015;1051;188066;75;001;2017;2020;2019;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75114;Paris 14e Arrondissement;139992;1183;141175;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75101;Paris 1er Arrondissement;16030;119;16149;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75118;Paris 18e Arrondissement;191135;776;191911;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75104;Paris 4e Arrondissement;27487;308;27795;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75109;Paris 9e Arrondissement;59408;697;60105;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75108;Paris 8e Arrondissement;36222;605;36827;75;001;2018;2021;2020;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75116;Paris 16e Arrondissement;166361;2193;168554;75;001;2017;2020;2019;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75111;Paris 11e Arrondissement;145903;832;146735;75;001;2018;2021;2020;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75107;Paris 7e Arrondissement;48520;780;49300;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75101;Paris 1er Arrondissement;16093;143;16236;75;001;2018;2021;2020;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75110;Paris 10e Arrondissement;86472;391;86863;75;001;2019;2022;2021;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75112;Paris 12e Arrondissement;140296;991;141287;75;001;2017;2020;2019;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75119;Paris 19e Arrondissement;184573;998;185571;75;001;2019;2022;2021;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75113;Paris 13e Arrondissement;181552;1565;183117;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75101;Paris 1er Arrondissement;16266;129;16395;75;001;2017;2020;2019;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75107;Paris 7e Arrondissement;52512;903;53415;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75107;Paris 7e Arrondissement;54133;1007;55140;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75112;Paris 12e Arrondissement;142340;1217;143557;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75115;Paris 15e Arrondissement;233484;1985;235469;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75114;Paris 14e Arrondissement;135964;977;136941;75;001;2017;2020;2019;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75118;Paris 18e Arrondissement;193665;826;194491;75;001;2018;2021;2020;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75107;Paris 7e Arrondissement;50196;818;51014;75;001;2018;2021;2020;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75113;Paris 13e Arrondissement;180005;1228;181233;75;001;2019;2022;2021;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75117;Paris 17e Arrondissement;167835;1540;169375;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75104;Paris 4e Arrondissement;28763;255;29018;75;001;2018;2021;2020;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75119;Paris 19e Arrondissement;186393;1367;187760;75;001;2016;2019;2018;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75105;Paris 5e Arrondissement;59333;869;60202;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75119;Paris 19e Arrondissement;183211;945;184156;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75105;Paris 5e Arrondissement;57380;670;58050;75;001;2020;2023;2022;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75101;Paris 1er Arrondissement;15917;138;16055;75;001;2019;2022;2021;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75102;Paris 2e Arrondissement;20796;172;20968;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75106;Paris 6e Arrondissement;42428;940;43368;75;001;2015;2018;2017;Métropole du Grand Paris;200054781;Paris
11;Île-de-France;75112;Paris 12e Arrondissement;139665;940;140605;75;001;2018;2021;2020;Métropole du Grand Paris;200054781;Paris
