"siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,nombrePeriodesEtablissement,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,dateDebut,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement,activitePrincipaleNAF25Etablissement"
"005410717,00010,00541071700010,O,,NN,,,2024-03-30T17:13:15,true,1,,27,,,,RUE,SAINT JEAN,80135,SAINT-RIQUIER,,,80716,,,,,807160515_B,624847.4278977821,7004575.034938539,,,,,,,,,,,,,,,1990-10-31,F,,,,,65.06,NAP,N,"
"005410733,00017,00541073300017,O,,NN,,,2024-03-30T03:08:54,true,1,,17,,,,PETITE RUE,NOTRE - DAME,80100,ABBEVILLE,,,80001,,,,,800011420_B,616085.4728702786,7001385.212106389,,,,,,,,,,,,,,,,F,,,,,57.03,NAP,N,"
"005410741,00010,00541074100010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,AV,DE LA GARE,80120,QUEND,,,80649,,,,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,64.42,NAP,N,"
"005410758,00014,00541075800014,O,,NN,,,2024-03-30T13:08:50,true,1,,,,,,CHAUSSEE,MARCADE,80100,ABBEVILLE,,,80001,,,,,800011240_B,616143.6933307206,7002084.806655714,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.05,NAP,N,"
"005410816,00010,00541081600010,O,,NN,,,2024-03-29T22:53:18,true,1,,3,,,,RUE,DE L'ARQUET,80370,HIERMONT,,,80440,,,,,804400002_B,634058.4815024603,7011221.418013085,,,,,,,,,,,,,,,,F,,,,,38.40,NAP,N,"
"005410857,00014,00541085700014,O,,NN,,,2024-03-30T04:38:49,true,1,,37,,,,RUE,PIERRE SAUVAGE,80100,ABBEVILLE,,,80001,,,,,800011540_B,616258.73457556,7001859.6001464715,,,,,,,,,,,,,,,,F,,,,,62.11,NAP,N,"
"005410873,00029,00541087300029,O,1980-01-01,NN,,,2024-03-29T23:26:50,true,1,,9,,,,RUE,CHARLES DE GAULLE,80220,GAMACHES,,,80373,,,,,803730110_B,596695.9946395296,6988206.102848349,,,,,,,,,,,,,,,1999-12-31,F,,,,,70.2C,NAF1993,N,"
"005410899,00024,00541089900024,O,2000-01-01,NN,,,2024-03-30T06:22:01,true,1,,21,,,,BOULEVARD,VOLTAIRE,80100,ABBEVILLE,,,80001,,,,,800012270_B,615793.821516623,7001283.867209569,,,,,,,,,,,,,,,2001-03-22,F,,,,,74.1J,NAF1993,N,"
"005410949,00019,00541094900019,O,,NN,,,2024-03-30T13:48:46,true,1,,35,,,,PLACE,MAX LEJEUNE,80100,ABBEVILLE,,,80001,,,,,800010970_B,616484.3364561212,7001530.645093034,,,,,,,,,,,,,,,,F,,,,,64.11,NAP,N,"
"005410980,00014,00541098000014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80132,MIANNAY,,,80546,,,,,,,,,,,,,,,,,,,,,,1987-06-30,F,,,,,67.07,NAP,N,"
"005411053,00019,00541105300019,O,,NN,,,2024-03-30T18:33:22,true,1,,,,,,RUE,D’ABBEVILLE,80870,MOYENNEVILLE,,,80578,,,,,80578fmopny_B,612744.6004444173,6997291.909723834,,,,,,,,,,,,,,,1991-03-31,F,,,,,65.03,NAP,N,"
"005411236,00010,00541123600010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,DU MOULIN,80220,MAISNIERES,,,80500,,,,,,,,,,,,,,,,,,,,,,,F,,,,,55.40,NAP,N,"
"005411343,00014,00541134300014,O,,NN,,,2024-04-25T09:37:19,true,1,,,,,,RUE,DU GENERAL LECLERC,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,,,,1992-10-31,F,,,,,50.1Z,NAF1993,N,"
"005411434,00011,00541143400011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80120,FAVIERES,,,80303,,,,,,,,,,,,,,,,,,,,,,1987-09-30,F,,,,,65.02,NAP,N,"
"005411483,00018,00541148300018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.41,NAP,N,"
"005411582,00017,00541158200017,O,1954-01-01,NN,,,2024-03-30T01:16:04,true,5,,47,,,,CHAUSSEE,DU BOIS,80100,ABBEVILLE,,,80001,,,,,800010210_B,616773.7860598504,7001737.182158355,,,,,,,,,,,,,,,2010-12-25,F,,,,,68.20B,NAFRev2,N,"
"005411699,00019,00541169900019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80150,CRECY-EN-PONTHIEU,,,80222,,,,,,,,,,,,,,,,,,,,,,1999-01-10,F,,,,,57.03,NAP,N,"
"005411806,00010,00541180600010,O,,NN,,,2024-03-30T17:45:17,true,1,,,,,,RUE,ALFRED FRANCOIS,80100,ABBEVILLE,,,80001,,,,,800010040_B,616663.0281498734,7001744.381647324,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N,"
"005411954,00018,00541195400018,O,,NN,,,2024-03-30T10:34:45,true,1,,,,,,RUE,JULES VERNE,80550,LE CROTOY,,,80228,,,,,802280580_B,601994.8698864816,7013894.41416455,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.50,NAP,N,"
"005411962,00011,00541196200011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80150,DOMVAST,,,80250,,,,,,,,,,,,,,,,,,,,,,1990-12-31,F,,,,,67.05,NAP,N,"
"005411996,00019,00541199600019,O,,NN,,,2024-03-30T07:03:36,true,1,,10,,,,AVENUE,DE LA GARE,80100,ABBEVILLE,,,80001,,,,,800010800_B,615863.9765063404,7001141.841095297,,,,,,,,,,,,,,,,F,,,,,67.04,NAP,N,"
"005420013,00012,00542001300012,O,,NN,,,2024-03-30T11:32:24,true,1,,264,,,,CHAUSSEE,D'HOCQUET,80100,ABBEVILLE,,,80001,,,,,800010950_B,615757.405433723,7001916.269409503,,,,,,,,,,,,,,,,F,,,,,62.21,NAP,N,"
"005420021,00015,00542002100015,O,1900-01-01,NN,,,2024-03-30T12:39:13,false,6,,17,,,,RUE,DES LINGERS,80100,ABBEVILLE,,,80001,,,,,800011190_B,616546.4188528932,7001583.181356614,,,,,,,,,,,,,,,2008-09-05,F,,,,,46.69B,NAFRev2,O,"
"005420021,00023,00542002100023,O,1995-02-14,NN,,,2024-03-30T12:39:13,false,6,,,,,,RUE,TUROLD,76630,ENVERMEU,,,76235,,,,,762350142_B,574985.791656942,6979212.0500528645,,,,,,,,,,,,,,,2009-12-31,F,,,,,46.69B,NAFRev2,O,"
"005420021,00031,00542002100031,O,1996-03-15,NN,,,2024-03-30T12:39:13,false,5,,134,,,,RUE,HENRI BARBUSSE,80130,FRIVILLE-ESCARBOTIN,,,80368,,,,,803680640_B,595577.1655949035,6999277.967600873,,,,,,,,,,,,,,,2009-12-31,F,,,,,46.69B,NAFRev2,O,"
"005420021,00049,00542002100049,O,2008-09-05,NN,,,2024-03-30T12:39:13,false,2,ZAC DES DEUX VALLEES,52,,,,RUE,VENTOSE,80100,ABBEVILLE,,,80001,,,,,800012235_B,618705.2706935114,7001057.516014204,,,,,,,,,,,,,,,2009-12-23,F,,,,,46.69B,NAFRev2,O,"
"005420021,00056,00542002100056,O,2009-12-23,NN,,,2025-12-06T03:57:36,true,1,,21,B,,,BOULEVARD,DES PRES,80100,ABBEVILLE,,,80001,,,,,800011770_B,616393.5745431304,7000826.96739121,,,,,,,,,,,,,,,2009-12-23,A,,,,,46.69B,NAFRev2,O,46.64J"
"005420039,00017,00542003900017,O,,NN,,,2024-03-30T15:20:54,true,1,,3,,,,PLACE,DU PILORI,80100,ABBEVILLE,,,80001,,,,,800011560_B,616589.0502735551,7001637.787003536,,,,,,,,,,,,,,,,F,,,,,59.02,NAP,N,"
"005420047,00010,00542004700010,O,1900-01-01,NN,,,2024-03-22T15:40:57,true,5,,114,,,,CHS,MARCADE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,2004-09-24,F,,,,,45.3F,NAFRev1,O,"
"005420047,00028,00542004700028,O,1973-07-01,NN,,,2024-03-22T15:40:57,false,3,,2,,,,,RIVE DROITE DE LA SOMME,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,2004-09-24,F,,,,,52.4Y,NAFRev1,N,"
"005420054,00024,00542005400024,O,,NN,,,2024-03-22T15:40:57,true,1,,54,,,,RUE,DES ECOLES,80970,SAILLY-FLIBEAUCOURT,,,80692,,,,,,,,,,,,,,,,,,,,,,1999-08-31,F,,,,,28.6F,NAF1993,O,"
"005420070,00020,00542007000020,O,,NN,,,2024-03-22T15:40:57,true,1,,2,,,,,VOIE NOUVELLE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1987-02-02,F,,,,,70.2C,NAF1993,N,"
"005420088,00014,00542008800014,O,,NN,,,2024-03-22T15:40:57,true,1,,3,,,,RUE,DES LINGERS,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1992-06-29,F,,,,,52.4N,NAF1993,N,"
"005420104,00019,00542010400019,O,1954-01-01,NN,,,2024-03-22T15:40:57,true,5,,13,,,,PL,MAX LEJEUNE,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,2013-12-16,F,,,,,47.71Z,NAFRev2,O,"
"005420120,00015,00542012000015,O,1989-01-27,01,2023,,2025-12-05T16:45:25,false,4,,,,,,RUE,DE LA FONTAINE,80120,RUE,,,80688,,,,,806880420_B,605361.4086290048,7020443.360403413,,,,,,,,,,,,,,,2008-01-01,A,,,,,10.81Z,NAFRev2,O,10.81Y"
"005420120,00023,00542012000023,O,1900-01-01,NN,,,2025-12-05T19:32:59,false,4,,12,,,,ROUTE,DE MONTREUIL,62180,RANG-DU-FLIERS,,,62688,,,,,626880420_B,603908.6742656698,7036437.727362791,,,,,,,,,,,,,,,2008-01-01,A,,,,,52.10B,NAFRev2,N,52.10H"
"005420120,00031,00542012000031,O,1900-01-01,02,2023,,2026-02-13T12:07:03,false,7,,,,,,ROUTE,NATIONALE,62140,MARCONNELLE,,,62550,,,,,625500050_B,629760.27887038,7031222.801711981,,,,,,,,,,,,,,,2026-01-13,F,,,,,70.10Z,NAFRev2,O,70.10Y"
"005420120,00049,00542012000049,O,1900-01-01,NN,,,2024-03-30T03:44:04,false,6,,,,,,RUE,DE LA GARE,62180,CONCHIL-LE-TEMPLE,,,62233,,,,,622330059_B,604705.0749943635,7030281.973691936,,,,,,,,,,,,,,,2020-12-21,F,,,,,46.75Z,NAFRev2,N,"
"005420120,00056,00542012000056,O,2026-01-13,NN,,,2026-02-13T12:07:03,true,1,,32,,,,CHEMIN,DES GARENNES,80120,SAINT-QUENTIN-EN-TOURMONT,,,80713,,,,,807130020_B,599191.13,7020404.89,,,,,,,,,,,,,,,2026-01-13,A,,,,,70.10Z,NAFRev2,O,70.10Y"
"005420146,00010,00542014600010,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,PL,DU GENERAL LECLERC,80120,RUE,,,80688,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.12,NAP,N,"
"005420153,00016,00542015300016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,MARECHAL FOCH,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,58.12,NAP,N,"
"005420187,00014,00542018700014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,CHS,D HOCQUET,80100,ABBEVILLE,,,80001,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,38.40,NAP,N,"
"005420195,00033,00542019500033,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,AU CHEMIN DE LA RIVIERE,80140,RAMBURES,,,80663,,,,,,,,,,,,,,,,,,,,,,2001-07-31,F,,,,,51.2A,NAF1993,O,"
"005420245,00010,00542024500010,O,,NN,,,2024-03-30T12:40:17,true,1,,2,,,,BOULEVARD,VAUBAN,80100,ABBEVILLE,,,80001,,,,,800012210_B,616871.3748239464,7001754.900468939,,,,,,,,,,,,,,,1986-07-03,F,,,,,81.21,NAP,N,"
"005420260,00019,00542026000019,O,1900-01-01,NN,,,2024-03-30T02:52:33,true,3,,,,,,RUE,JOLIOT CURIE,80570,DARGNIES,,,80235,,,,,802350240_B,594288.7735014518,6995038.873381188,,,,,,,,,,,,,,,1991-12-25,F,,,,,20.01,NAP,N,"
"005420278,00011,00542027800011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,80270,ALLERY,,,80019,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,44.33,NAP,N,"
"005440011,00012,00544001100012,O,1991-09-30,NN,,,2024-03-30T11:16:39,true,4,LES MARRONNIERS,,,,,AVENUE,DE VERDUN,04000,DIGNE-LES-BAINS,,,04070,,,,,040701680_B,957717.8159985486,6337333.42628869,,,,,,,,,,,,,,,2012-02-02,F,,,,,68.20B,NAFRev2,N,"
"005440078,00011,00544007800011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,,,,1985-12-25,F,,,,,62.11,NAP,N,"
"005440110,00038,00544011000038,O,1900-01-01,NN,,,2024-03-30T03:04:38,false,4,,,,,,COURS,PECHINEY,04600,CHATEAU-ARNOUX-SAINT-AUBAN,,,04049,,,,,040490585_B,939798.2952130096,6334834.39187688,,,,,,,,,,,,,,,1995-12-25,F,,,,,52.4T,NAF1993,O,"
"005440110,00053,00544011000053,O,1991-11-04,NN,,,2024-03-30T03:04:56,false,4,,13,,,,BOULEVARD,GASSENDI,04000,DIGNE-LES-BAINS,,,04070,,,,,040700710_B,958767.0310905599,6337807.654337299,,,,,,,,,,,,,,,1996-12-25,F,,,,,70.2C,NAF1993,N,"
"005440110,00061,00544011000061,O,1995-10-01,NN,,,2025-12-05T18:00:07,true,3,,6,,,,RUE,FIRMIN GUICHARD,04000,DIGNE-LES-BAINS,,,04070,,,,,040700630_B,958470.4280280268,6337133.430129497,,,,,,,,,,,,,,,2008-01-01,A,,,,,68.20B,NAFRev2,N,68.20H"
"005440136,00017,00544013600017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04500,QUINSON,,,04158,,,,,,,,,,,,,,,,,,,,,,,F,,,,,67.09,NAP,N,"
"005440185,00014,00544018500014,O,1954-01-01,NN,,,2024-03-22T15:40:57,true,3,,,,,,,,04250,TURRIERS,,,04222,,,,,,,,,,,,,,,,,,,,,,2006-03-01,F,,,,,52.1B,NAFRev1,N,"
"005440219,00011,00544021900011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04210,VALENSOLE,,,04230,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,"
"005440235,00017,00544023500017,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04170,THORAME-BASSE,,,04218,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,60.01,NAP,N,"
"005440409,00018,00544040900018,O,,NN,,,2024-03-30T07:16:30,true,1,,,,,,RUE,CHAPUZIE,04200,SISTERON,,,04209,,,,,042090230_B,935378.516026363,6348611.493909222,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.46,NAP,N,"
"005440508,00017,00544050800017,O,,NN,,,2024-03-30T17:33:59,true,1,,,,,,RTE,NEUVE,04160,CHATEAU ARNOUX SAINT AUBAN,,,04049,,,,,040490530_C,,,,,,,,,,,,,,,,,1991-12-31,F,,,,,57.08,NAP,N,"
"005440557,00014,00544055700014,O,,NN,,,2024-03-30T09:51:49,true,1,,,,,,PLACE,DES RECOLLETS,04000,DIGNE-LES-BAINS,,,04070,,,,,04070v0om9q_B,959339.4769408583,6337857.147596054,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,"
"005440565,00017,00544056500017,O,1954-01-01,NN,,,2024-03-30T12:23:31,true,4,,,,,,PLACE,DU GENERAL DE GAULLE,04200,SISTERON,,,04209,,,,,042090648_B,935232.2103834725,6348453.166222636,,,,,,,,,,,,,,,2014-12-25,F,,,,,68.20B,NAFRev2,N,"
"005440649,00019,00544064900019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,RUE,LOGIS,04800,SAINT-MARTIN-DE-BROMES,,,04189,,,,,,,,,,,,,,,,,,,,,,1988-09-30,F,,,,,62.11,NAP,N,"
"005440672,00011,00544067200011,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,"
"005440698,00016,00544069800016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04370,COLMARS,,,04061,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,67.07,NAP,N,"
"005440722,00014,00544072200014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04120,CASTELLANE,,,04039,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.10,NAP,N,"
"005440755,00014,00544075500014,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04190,LES MEES,,,04116,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,64.11,NAP,N,"
"005440789,00013,00544078900013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04530,LA CONDAMINE-CHATELARD,,,04062,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,62.11,NAP,N,"
"005440797,00016,00544079700016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04700,ORAISON,,,04143,,,,,,,,,,,,,,,,,,,,,,,F,,,,,60.07,NAP,N,"
"005440813,00029,00544081300029,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,LE FOREST DE BAYONS,04250,LA MOTTE-DU-CAIRE,,,04134,,,,,,,,,,,,,,,,,,,,,,1989-12-31,F,,,,,55.3A,NAF1993,N,"
"005440847,00019,00544084700019,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04140,VERDACHES,,,04235,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,69.22,NAP,N,"
"005440904,00018,00544090400018,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,HAM,LES BAUMES,04200,MISON,,,04123,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,"
"005440938,00016,00544093800016,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04200,MISON,,,04123,,,,,,,,,,,,,,,,,,,,,,,F,,,,,01.80,NAP,N,"
"005440987,00013,00544098700013,O,,NN,,,2024-03-22T15:40:57,true,1,,,,,,,,04500,MONTAGNAC-MONTPEZAT,,,04124,,,,,,,,,,,,,,,,,,,,,,1984-12-25,F,,,,,00.97,NAP,N,"
